County;Year;Population;Primary County Coordinates
Osceola;2013;6232;(43.3785704, -95.6236852)
Cerro Gordo;2013;43512;(43.0815577, -93.2608184)
Adair;2013;7387;(41.3307464, -94.4709413)
Mahaska;2013;22405;(41.3352035, -92.6409094)
Boone;2013;26283;(42.0365493, -93.931671)
Sac;2013;10032;(42.3862604, -95.1053946)
Dickinson;2013;16876;(43.3779848, -95.1508301)
Greene;2013;9158;(42.0362394, -94.3968356)
Clinton;2013;48264;(41.8980358, -90.5319724)
Story;2013;93462;(42.0362415, -93.4650448)
Plymouth;2013;24916;(42.7378346, -96.2140431)
Washington;2013;21941;(41.335591, -91.7178676)
Floyd;2013;16035;(43.0599208, -92.7890033)
Jackson;2013;19510;(42.1717426, -90.5742294)
Hardin;2013;17377;(42.3838803, -93.2404025)
Warren;2013;47348;(41.3343735, -93.5613594)
Henry;2013;20020;(40.9879383, -91.5445241)
Decatur;2013;8209;(40.7376827, -93.7862815)
Adams;2013;3892;(41.0289839, -94.6991849)
Jones;2013;20508;(42.1212397, -91.1314352)
Dallas;2013;74842;(41.6848862, -94.0397374)
Monona;2013;9028;(42.0516663, -95.9599235)
Kossuth;2013;15324;(43.20413, -94.2067199)
Page;2013;15498;(40.7391444, -95.1501747)
Calhoun;2013;9898;(42.3851848, -94.6404136)
Cass;2013;13569;(41.3314876, -94.9278266)
Worth;2013;7495;(43.3773984, -93.2608476)
Mills;2013;14907;(41.0334523, -95.6213267)
Buchanan;2013;21027;(42.4707777, -91.8378392)
Lee;2013;35229;(40.6419764, -91.479264)
Carroll;2013;20538;(42.0362382, -94.8605593)
Butler;2013;14978;(42.7315661, -92.7901934)
Ida;2013;7073;(42.3868747, -95.5134962)
Scott;2013;170071;(41.6370978, -90.6232428)
Marshall;2013;40913;(42.0358499, -92.9987706)
Marion;2013;33010;(41.3344515, -93.0994367)
Grundy;2013;12343;(42.4018651, -92.7914177)
Winneshiek;2013;20838;(43.2906746, -91.8437074)
Harrison;2013;14357;(41.6828528, -95.8169209)
Johnson;2013;139653;(41.6715511, -91.5880849)
Crawford;2013;17365;(42.0372125, -95.3819678)
Cedar;2013;18270;(41.7723207, -91.1324125)
Delaware;2013;17461;(42.471211, -91.3673502)
Taylor;2013;6226;(40.7374324, -94.6964148)
Black Hawk;2013;132781;(42.4700957, -92.3088197)
Davis;2013;8768;(40.7476891, -92.4097173)
Buena Vista;2013;20612;(42.7354936, -95.151149)
Hancock;2013;11133;(43.0818861, -93.7342723)
Wright;2013;12980;(42.7331189, -93.7351465)
Shelby;2013;11894;(41.6850926, -95.3102113)
Appanoose;2013;12650;(40.7431635, -92.8686104)
Hamilton;2013;15340;(42.3837722, -93.7068085)
Keokuk;2013;10336;(41.336465, -92.1786426)
Clarke;2013;9245;(41.0290323, -93.7851579)
Iowa;2013;16279;(41.6863229, -92.065524)
Wayne;2013;6382;(40.7394702, -93.3273639)
Tama;2013;17429;(42.0798117, -92.5325425)
O'Brien;2013;14044;(43.0837527, -95.6248784)
Madison;2013;15475;(41.3307142, -94.0155619)
Jasper;2013;36718;(41.6860394, -93.053765)
Ringgold;2013;4974;(40.7352023, -94.2439719)
Humboldt;2013;9666;(42.7764686, -94.2071868)
Louisa;2013;11336;(41.2185073, -91.2596184)
Monroe;2013;7978;(41.0297826, -92.8689877)
Polk;2013;452032;(41.6855048, -93.5735335)
Lucas;2013;8686;(41.0293738, -93.3277207)
Mitchell;2013;10663;(43.3564124, -92.7890315)
Bremer;2013;24573;(42.7745873, -92.3180548)
Union;2013;12607;(41.0277304, -94.2423792)
Audubon;2013;5861;(41.6845893, -94.9058222)
Clayton;2013;17792;(42.8447493, -91.3414328)
Lyon;2013;11695;(43.380497, -96.2102924)
Guthrie;2013;10669;(41.6837548, -94.501055)
Howard;2013;9436;(43.3567673, -92.3171989)
Van Buren;2013;7437;(40.7532294, -91.9499871)
Fayette;2013;20500;(42.8625919, -91.8443207)
Clay;2013;16442;(43.0825804, -95.1509194)
Jefferson;2013;17509;(41.0317596, -91.9488774)
Emmet;2013;9849;(43.3780225, -94.6784803)
Cherokee;2013;11878;(42.7356226, -95.6238055)
Wapello;2013;35474;(41.0305845, -92.4094499)
Webster;2013;37312;(42.4279662, -94.1817881)
Linn;2013;216235;(42.0789478, -91.5989646)
Pocahontas;2013;7110;(42.7341351, -94.6787466)
Muscatine;2013;42931;(41.4839221, -91.1127562)
Franklin;2013;10506;(42.7325458, -93.262473)
Poweshiek;2013;18581;(41.6864422, -92.5314684)
Pottawattamie;2013;92810;(41.3366123, -95.5423935)
Chickasaw;2013;12268;(43.0600414, -92.3176637)
Buena Vista;2012;20562;(42.7354936, -95.151149)
Union;2012;12580;(41.0277304, -94.2423792)
Shelby;2012;12020;(41.6850926, -95.3102113)
Hardin;2012;17358;(42.3838803, -93.2404025)
Tama;2012;17501;(42.0798117, -92.5325425)
Lee;2012;35531;(40.6419764, -91.479264)
Linn;2012;215312;(42.0789478, -91.5989646)
Polk;2012;444302;(41.6855048, -93.5735335)
Decatur;2012;8237;(40.7376827, -93.7862815)
Crawford;2012;17323;(42.0372125, -95.3819678)
Woodbury;2012;102290;(42.3897169, -96.0447673)
Buchanan;2012;20998;(42.4707777, -91.8378392)
Page;2012;15689;(40.7391444, -95.1501747)
Keokuk;2012;10427;(41.336465, -92.1786426)
Ringgold;2012;5029;(40.7352023, -94.2439719)
Adams;2012;3909;(41.0289839, -94.6991849)
Guthrie;2012;10759;(41.6837548, -94.501055)
Dallas;2012;72176;(41.6848862, -94.0397374)
Jones;2012;20592;(42.1212397, -91.1314352)
Clarke;2012;9341;(41.0290323, -93.7851579)
Kossuth;2012;15406;(43.20413, -94.2067199)
Clayton;2012;17948;(42.8447493, -91.3414328)
Adair;2012;7468;(41.3307464, -94.4709413)
Cedar;2012;18340;(41.7723207, -91.1324125)
Iowa;2012;16177;(41.6863229, -92.065524)
Hamilton;2012;15316;(42.3837722, -93.7068085)
Sac;2012;10161;(42.3862604, -95.1053946)
O'Brien;2012;14154;(43.0837527, -95.6248784)
Henry;2012;19989;(40.9879383, -91.5445241)
Ida;2012;7043;(42.3868747, -95.5134962)
Cherokee;2012;11957;(42.7356226, -95.6238055)
Fremont;2012;7144;(40.7455892, -95.6046765)
Fayette;2012;20760;(42.8625919, -91.8443207)
Winnebago;2012;10590;(43.3775678, -93.7341955)
Calhoun;2012;9909;(42.3851848, -94.6404136)
Montgomery;2012;10540;(41.03014, -95.1563758)
Monona;2012;9089;(42.0516663, -95.9599235)
Winneshiek;2012;21037;(43.2906746, -91.8437074)
Davis;2012;8707;(40.7476891, -92.4097173)
Worth;2012;7501;(43.3773984, -93.2608476)
Greene;2012;9182;(42.0362394, -94.3968356)
