,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
7599,S23825700168,02/04/2015,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,"1256 IOWA ST
DUBUQUE 52001
(42.504958, -90.668138)",31.0,Dubuque,1031200.0,VODKA FLAVORED,260,Diageo Americas,77852,Smirnoff Watermelon,12,750,$8.25,$12.38,2,$24.76,1.5,0.4
7600,S12881100027,06/17/2013,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,"1025 NORTH QUINCY AVE
OTTUWMA 52501
(41.015384, -92.438455)",90.0,Wapello,1012100.0,CANADIAN WHISKIES,65,Jim Beam Brands,10628,Canadian Club Whisky,6,1750,$15.75,$23.62,6,$141.72,10.5,2.77
7601,S21519400124,09/30/2014,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,"109 EAST 1ST ST STE B
GRIMES 50111
(41.6884, -93.793812)",77.0,Polk,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,86670,Jack Daniel's Tennessee Honey,12,750,$14.53,$21.80,2,$43.60,1.5,0.4
7602,S11640700011,04/15/2013,3820,"Charlie's Wine and Spirits,",507 W 19th St,SIOUX CITY,51103,"507 W 19th St
SIOUX CITY 51103
(42.510535, -96.420193)",97.0,Woodbury,1031080.0,VODKA 80 PROOF,260,Diageo Americas,37417,Popov Vodka 80 Prf,12,1000,$5.00,$7.49,12,$89.88,12.0,3.17
7603,S06532500026,07/11/2012,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,"3221 SE 14TH ST
DES MOINES 50320
(41.554101, -93.596754)",77.0,Polk,1022100.0,TEQUILA,65,Jim Beam Brands,88556,Sauza Blanco Silver,12,750,$8.40,$12.59,12,$151.08,9.0,2.38
7604,S15778500011,11/18/2013,4518,Casey's General Store #2824 / WDM,6630 MILLS CIVIC PARKWAY,WEST DES MOINES,50266,"6630 MILLS CIVIC PARKWAY
WEST DES MOINES 50266
(41.561791, -93.799289)",77.0,Polk,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,$14.75,$22.13,12,$265.56,9.0,2.38
7605,S21423400038,09/25/2014,3670,Wal-Mart 2827 / Coralville,2801 COMMERCE DR,CORALVILLE,52241,"2801 COMMERCE DR
CORALVILLE 52241
(41.695806, -91.610774)",52.0,Johnson,1031080.0,VODKA 80 PROOF,434,Luxco-St Louis,36306,Hawkeye Vodka,12,750,$3.34,$5.01,60,$300.60,45.0,11.89
7606,S17217500015,02/05/2014,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,"2727 DODGE ST
DUBUQUE 52003
(42.4918, -90.704724)",31.0,Dubuque,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11777,Black Velvet,12,1000,$6.63,$9.94,36,$357.84,36.0,9.51
7607,S20513600106,08/06/2014,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,"2200 WEST KIMBERLY
DAVENPORT 52806
(41.560151, -90.608199)",82.0,Scott,1012100.0,CANADIAN WHISKIES,434,Luxco-St Louis,13038,Canadian Reserve Whisky,6,1750,$9.00,$13.50,2,$27.00,3.5,0.92
7608,S04574400110,03/15/2012,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,"412 1ST AVE
CORALVILLE 52241
(41.672672, -91.565517)",52.0,Johnson,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,$5.23,$7.84,2,$15.68,1.5,0.4
7609,S19626400006,06/23/2014,4755,Walgreens #05941 / Mason City,1251 4th ST SW,MASON CITY,50401,"1251 4th ST SW
MASON CITY 50401
(43.148333, -93.220421)",17.0,Cerro Gordo,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$10.45,$15.67,12,$188.04,21.0,5.55
7610,S15517600105,11/04/2013,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17.0,Cerro Gordo,1011200.0,STRAIGHT BOURBON WHISKIES,297,Laird And Company,18408,G & W Bourbon,6,1750,$9.23,$13.85,2,$27.70,3.5,0.92
